# SS-009 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# 이 클립은 두 구간을 이어붙였다(점프컷, 0:56.7 지점). 사이 45초는 경제학
# 배경 설명(하버드 교수 대 원숭이 다트 예화)이라 본 논증에는 필요 없어 뺐다.
# 시작ms	종료ms	자막
0	4840	그런데 상황이 똑같을까요? 안 똑같을까요?
4840	9120	여러분, 블레셋 사람들이 골짜에 가득하다.
9120	13840	이것만 보고 똑같다고 얘기할 수 있을까요?
13840	19720	블레셋 사람들이 한번 졌기 때문에, 그다음엔 뭔가 준비를 하고 왔겠죠.
19720	26520	그러니까 상황이라는 건, 변수가 너무 다양해서 예측할 수가 없습니다.
26520	32520	우리는 누군가가 겪고 있는 상황이
32520	39360	우리랑 100% 똑같은 상황이라고 생각하십니까?
39360	44800	근데 우리는 누군가에게 너무나 쉽게 조언합니다.
44800	46560	"나도 겪어봤는데"
46560	50199	아니, 뭘 겪었다는 얘기예요?
50199	56720	똑같은 상황을 겪고 있는 사람은 아무도 없습니다. 변수는 너무 다양해요.
56733	59333	그렇지 않고, 모든 사람들이
59333	67172	경험하고 있는 것들은 다르다는 생각을 가져야 되는 게 굉장히 중요합니다.
67172	78293	그것을 알 때 우리가 비로소 겸손해지고, 위로해 주고 격려하는 법을 알게 되고
78293	83533	우리가 특별히 하나님을 의지할 수 있게 되는 것입니다.
83533	87892	우리 옆 사람에게 축복합시다.
87892	91652	당신이 걷고 있는 길은
91652	96053	처음 가는 길입니다.
96053	100213	나는 비록 모르지만, 해결책이 없지만
100213	105293	하나님을 의지하면서 이겨 나가시기를 축복합니다.
108172	113000	그런 생각을 참 가지면 좋을 거 같아요.
