# SS-016 최종 자막 — 검수 완료본 (단일 구간, 원본 30:08.20–31:17.60)
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# L-22(훅/자막 폭 초과) 재확인 — 각 큐를 34자(17자×2줄) 이하로 짧게 나눴다.
# 시작ms	종료ms	자막
0	11400	자기가 잘해서 하나님이 이렇게 했다 — 자꾸 이런 생각을 해요
11400	17780	우리가 회개를 너무나 잘했기 때문에 이렇게 됐다
17780	24160	그러면서 우쭐해하고 하나님을 무시하고
24160	29520	내가 이렇게 행하면 내 거룩한 이름이
29520	34880	땅에 떨어지는 걸 놔두지 않는다
34880	41040	그렇게 하는 것은 너희들이 무엇을 잘했기 때문이 아니라
41040	47200	나의 거룩한 이름 때문에
47200	54140	하나님의 전적인 은혜 때문에 그렇게 된 거지
54140	61079	너희가 잘해서 그렇지는 않다
61079	69400	그거를 꼭 생각해야 되는 거예요
