# SS-010 최종 자막 — 검수 완료본
# 원칙: 말한 것만 적는다. 실언·반복은 지우되, 말하지 않은 것은 넣지 않는다.
# 시작ms	종료ms	자막
0	6280	여러분들 살다 보니까, 어떤 사람이 좋아요?
6280	12240	화려하진 않아도 늘 진득하게 내 곁에 있어 주고,
12240	18079	그런 사람이 더 감동받고 더 진실한 친구라는 생각이 들지 않으십니까?
21799	27280	화려한 사람이랑 가면 내 인생이 좋을 거 같은데,
27280	34439	오히려 굉장히 쌀쌀맞은 경우도 많고, 나 자신을 이용해 먹는 사람들도 있고
37439	42320	결국 어떤 친구가 가장 좋냐, 그렇게 화려하지는 않아도
42320	45400	내 곁에 있어 주고, 그게 그렇게 감동이 되는 거죠.
48920	53760	화려함, 성공, 어마어마한 지위 이런 것들을
56359	63240	처음엔 좋은 줄 알고 있는데, 점점 갈수록 그거보다는 진실된 마음
74600	79760	여러분들 진실된 마음 없이 화려한 거 좋으셔요?
79760	85760	화려한 것은 없다 할지라도 진실된 마음이 있는 게 더 좋습니까?
87600	92519	내가 힘들 때 곁에서 묵묵히 지켜주는 사람들이 더 좋죠.
92519	99920	그런 사람들이 은사까지도, 지위까지도 있으면 유익은 더 될 수 있겠지만
99920	105200	더 중요한 게 무엇인가를 우리가 살면서 깨닫게 됩니다.
105200	107839	근데 은사도 마찬가지예요.
