# 시작ms	종료ms	자막  — 고친 뒤 --captions 로 넘기세요.
# 음성을 들으면서 고칩니다. 그 행위가 곧 음성 대조입니다.
# 지울 행은 텍스트를 비우지 말고 행 전체를 지우세요.
0	3799	그래서 지금도 우리는 믿었다고 해
3799	6760	가지고 우월감을 가지면 안 됩니다.
6760	10400	참 보면 예, 참 믿었다고 해가지고
10400	12079	굉장히 교만한 사람이 있어요. 너희는
12079	13880	하나님을 모른다 이러면서 굉장히
13880	18720	무시하고 이게 참 이게 참 되게에 참
18720	23600	이게 그리스도인의 공동체 원래 그래서는 안 되는데 또 믿음 가진
23600	25520	사람들은 믿음 안 가진 사람들 보면
25520	28880	완전히 막 아주 취급하고
28880	31960	아주 멸시하고 막 막 우월주의에
31960	35240	사로잡힌 사람들 있는데 참 우월주의가
35240	38000	아닌데 이거는 먼저 믿은 것도
38000	40720	하나님의 은혜 때문에 믿은 거고 원래
40720	43600	우리가 다 이방 민족이었습니다. 예.
43600	48519	아브라함에게도 네가 원래 이방 민족이었다. 주님께서도 그렇게
48519	53000	얘기하시면서 그런데 나의 민족으로 삶아주었다. 은혜를 먼저 경험한
53000	56200	것뿐이지. 예. 그게 우월로 가서는
56200	59079	안 될 것입니다. 그래서 겸손하게
